filename,date,isCompleteData,original_count,predicted_count
DOGE_20210429_Latest11097,2021-04-29,False,11097,12025
DOGE_20210430,2021-04-30,True,12678,12678
doge_prolific_author_tweets_202104,2021-04-12,True,11767,11767
DOGE_20210501,2021-05-01,False,10282,16164
DOGE_20210502,2021-05-02,True,14634,14634
DOGE_20210503,2021-05-03,True,26238,26238
DOGE_20210504_Latest50001_max,2021-05-04,False,50001,78604
DOGE_20210505_Latest24076_keyboard,2021-05-05,False,24076,42693
DOGE_20210506_Latest15060_http,2021-05-06,False,15060,28905
DOGE_20210507_Latest23920,2021-05-07,False,23920,32446
DOGE_20210508_Latest31173,2021-05-08,False,31173,38670
DOGE_20210509,2021-05-09,True,86124,86124
DOGE_20210510_Latest23093_twice,2021-05-10,False,23093,40950
DOGE_20210511,2021-05-11,True,42077,42077
DOGE_20210512,2021-05-12,True,41564,41564
DOGE_20210513_Latest19119,2021-05-13,False,19119,51701
DOGE_20210514_Latest14932,2021-05-14,False,14932,35495
DOGE_20210515,2021-05-15,True,25018,25018
DOGE_20210516,2021-05-16,True,42234,42234
DOGE_20210517,2021-05-17,True,37518,37518
DOGE_20210518,2021-05-18,True,22903,22903
DOGE_20210519,2021-05-19,True,31045,31045
DOGE_20210520,2021-05-20,True,26001,26001
DOGE_20210521,2021-05-21,True,19089,19089
DOGE_20210522_Latest3876,2021-05-22,False,3876,14516
DOGE_20210523,2021-05-23,True,17019,17019
DOGE_20210524_Latest20257,2021-05-24,False,20257,27477
DOGE_20210525,2021-05-25,True,35883,35883
DOGE_20210526,2021-05-26,True,18900,18900
DOGE_20210527_Latest21730_keyboard,2021-05-27,False,21730,24566
DOGE_20210528,2021-05-28,True,13175,13175
DOGE_20210529,2021-05-29,True,11339,11339
DOGE_20210530,2021-05-30,True,10699,10699
DOGE_20210531,2021-05-31,True,11127,11127
doge_prolific_author_tweets_202105,2021-05-02,False,5530,5530
DOGE_20210601,2021-06-01,True,16006,16006
DOGE_20210602,2021-06-02,True,23250,23250
DOGE_20210603,2021-06-03,True,18073,18073
DOGE_20210604,2021-06-04,True,17889,17889
DOGE_20210605,2021-06-05,True,15913,15913
DOGE_20210606_Latest2533,2021-06-06,False,2533,14901
DOGE_20210607,2021-06-07,True,12743,12743
DOGE_20210608,2021-06-08,True,11962,11962
DOGE_20210609,2021-06-09,True,12283,12283
DOGE_20210610,2021-06-10,True,10219,10219
DOGE_20210611,2021-06-11,True,12604,12604
