symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2024-03-03 06:00:00+00:00,0.1402,0.16041361,0.1095782075,0.1593655,176157.878952002,115.0,0.1474373991
DOGE/USD,2024-03-04 06:00:00+00:00,0.1593595,0.2070545,0.135959071,0.18157,798633.810139588,313.0,0.1793485226
DOGE/USD,2024-03-05 06:00:00+00:00,0.181596,0.195048471,0.087543423,0.167112,309546.687897007,152.0,0.1541056138
DOGE/USD,2024-03-06 06:00:00+00:00,0.1671355,0.1797295,0.14655,0.148084,310903.211625485,148.0,0.1610380989
DOGE/USD,2024-03-07 06:00:00+00:00,0.14825,0.168785,0.14741,0.162794,464232.818617866,122.0,0.1558603486
DOGE/USD,2024-03-08 06:00:00+00:00,0.162772,0.1759,0.15927,0.1715,581111.878995433,118.0,0.1675996688
DOGE/USD,2024-03-09 06:00:00+00:00,0.171305,0.184895,0.163352,0.17784,198616.134016939,88.0,0.1740447099
DOGE/USD,2024-03-10 06:00:00+00:00,0.177812,0.1782445,0.160045,0.1669735,198314.804323746,52.0,0.173596971
DOGE/USD,2024-03-11 05:00:00+00:00,0.1670285,0.183287657,0.16656,0.174066,172961.709888062,103.0,0.1762192648
DOGE/USD,2024-03-12 05:00:00+00:00,0.174295,0.175178,0.155593,0.172815,167064.738888643,75.0,0.1685205157
DOGE/USD,2024-03-13 05:00:00+00:00,0.172995,0.192925,0.1650975955,0.1787,447055.283424434,109.0,0.1816081385
DOGE/USD,2024-03-14 05:00:00+00:00,0.1784805,0.1902267,0.159991,0.1630645,620356.622186028,162.0,0.1756990529
DOGE/USD,2024-03-15 05:00:00+00:00,0.162899,0.1696785,0.1510265,0.160959,896164.900320769,113.0,0.1623036047
DOGE/USD,2024-03-16 05:00:00+00:00,0.160978,0.16345,0.138107155,0.1451295,594596.960133677,108.0,0.1524327446
DOGE/USD,2024-03-17 05:00:00+00:00,0.145275,0.1590995,0.1366685,0.152,332408.068621558,72.0,0.1556268061
DOGE/USD,2024-03-18 05:00:00+00:00,0.151935,0.153515,0.131702,0.133191,372297.64292454,53.0,0.1338739466
DOGE/USD,2024-03-19 05:00:00+00:00,0.133035,0.1364145,0.124675,0.1263095,654012.555624976,80.0,0.1305227138
DOGE/USD,2024-03-20 05:00:00+00:00,0.1263,0.153565,0.12285,0.150033,160357.999111147,94.0,0.1428911495
DOGE/USD,2024-03-21 05:00:00+00:00,0.150035,0.15985,0.14664,0.15625,131613.006965736,72.0,0.1519952152
