date,tweet_count
2022-03-01,266
2022-03-05,55
2022-03-06,161
2022-03-07,145
2022-03-08,252
2022-03-10,75
2022-03-11,401
2022-03-13,186
2022-03-14,207
2022-03-15,319
2022-03-16,289
2022-03-17,264
2022-03-18,182
2022-03-20,356
2022-03-21,358
2022-03-22,15
2022-03-23,49
2022-03-24,1541
2022-03-26,27
2022-03-27,633
2022-03-28,85
2022-03-30,326
2022-03-31,615
2022-04-02,65
2022-04-03,1459
2022-04-05,5779
2022-04-07,387
2022-04-08,208
2022-04-09,459
2022-04-11,722
2022-04-14,1218
2022-04-15,7
2022-04-16,775
2022-04-17,1738
2022-04-18,2793
2022-04-19,1485
2022-04-20,2073
2022-04-21,473
2022-04-22,3303
2022-04-23,1164
2022-04-24,1816
2022-04-25,9337
2022-04-26,8966
2022-04-27,1498
2022-04-28,2708
2022-04-29,2915
2022-04-30,696
2022-05-01,722
2022-05-02,337
2022-05-03,435
2022-05-04,2502
2022-05-05,345
2022-05-06,1095
2022-05-07,1520
2022-05-08,977
2022-05-09,1888
2022-05-14,3994
2022-05-16,2068
2022-05-17,1179
2022-05-18,1428
2022-05-19,48
2022-05-20,114
2022-05-21,151
2022-05-23,1639
2022-05-24,113
2022-05-26,1258
2022-05-28,281
2022-05-29,115
2022-05-30,94
2022-05-31,126
2024-02-01,414
2024-02-02,3531
2024-02-03,1761
2024-02-04,500
2024-02-05,231
2024-02-06,24
2024-02-07,619
2024-02-08,513
2024-02-09,171
2024-02-12,375
2024-02-13,98
2024-02-14,53
2024-02-15,178
2024-02-16,23
2024-02-17,119
2024-02-18,107
2024-02-19,610
2024-02-20,1477
2024-02-21,73
2024-02-22,11
2024-02-23,73
2024-02-24,158
2024-02-25,698
2024-02-26,718
2024-02-27,2290
2024-02-28,2295
2024-02-29,3098
2024-03-01,2541
2024-03-02,2312
2024-03-03,2077
2024-03-04,625
2024-03-05,1070
2024-03-07,1
2024-03-08,82
2024-03-09,187
2024-03-10,256
2024-03-11,84
2024-03-12,114
2024-03-14,1017
2024-03-15,17
2024-03-17,610
2024-03-19,981
2024-03-21,16
2024-03-22,96
2024-03-23,2735
2024-03-26,542
2024-03-27,74
2024-03-28,7326
2024-03-29,2270
2024-03-30,3116
2024-03-31,793
2024-04-01,144
2024-04-02,80
2024-04-03,288
2024-04-04,99
2024-04-05,5
2024-04-06,19
2024-04-07,30
2024-04-08,30
2024-04-09,76
2024-04-12,45
2024-04-13,33
2024-04-14,37
2024-04-16,2034
2024-04-17,396
2024-04-18,1154
2024-04-20,1472
2024-04-21,9
2024-04-22,1712
2024-04-25,2490
2024-04-26,142
2024-04-27,102
2024-04-28,1286
2024-04-29,13
2024-04-30,897
2024-05-01,36
2024-05-02,509
2024-05-04,366
2024-05-05,106
2024-05-06,564
2024-05-07,466
2024-05-08,476
2024-05-09,105
2024-05-10,7
2024-05-12,113
2024-05-14,3286
2024-05-15,405
2024-05-16,1
2024-05-17,187
2024-05-18,523
2024-05-20,15
2024-05-24,37
2024-05-25,20
2024-05-26,21
2024-05-27,107
2024-05-28,25
2024-05-29,156
2024-05-31,130
2024-06-01,1150
2024-06-03,227
2024-06-04,3
2024-06-05,181
2024-06-07,72
2024-06-08,323
2024-06-09,254
2024-06-10,863
2024-06-11,1623
2024-06-13,118
2024-06-14,481
2024-06-15,800
2024-06-16,150
2024-06-19,2
2024-06-21,25
2024-06-23,186
2024-06-24,1028
2024-06-26,12
2024-06-27,2104
2024-06-29,1154
2024-07-02,707
2024-07-04,283
2024-07-05,225
2024-07-06,184
2024-07-07,45
2024-07-08,266
2024-07-09,4
2024-07-11,409
2024-07-13,3
2024-07-14,13
2024-07-15,9
2024-07-16,1102
2024-07-18,454
2024-07-19,176
2024-07-20,395
2024-07-21,2547
2024-07-23,1149
2024-07-24,1091
2024-07-25,1008
2024-07-26,1254
2024-07-27,1345
2024-07-28,1051
2024-07-29,8
2024-07-30,699
2024-07-31,1187
2024-08-01,11
2024-08-02,18
2024-08-05,51
2024-08-06,34
2024-08-07,15
2024-08-08,22
2024-08-09,27
2024-08-10,18
2024-08-12,16
2024-08-14,15
2024-08-16,742
2024-08-17,89
2024-08-20,382
2024-08-21,16
2024-08-22,523
2024-08-23,80
2024-08-24,30
2024-08-25,37
2024-08-26,25
2024-08-27,194
2024-08-31,86
2024-09-01,163
2024-09-02,18
2024-09-04,52
2024-09-05,288
2024-09-07,13
2024-09-08,8
2024-09-10,27
2024-09-12,29
2024-09-13,7
2024-09-14,39
2024-09-16,53
2024-09-19,124
2024-09-20,107
2024-09-21,64
2024-09-22,25
2024-09-23,188
2024-09-25,9
2024-09-26,17
2024-09-27,7
2024-09-28,15
2024-09-29,16
2024-09-30,77
2024-10-01,3014
2024-10-02,1750
2024-10-05,127
2024-10-06,64
2024-10-07,185
2024-10-08,588
2024-10-09,145
2024-10-10,485
2024-10-11,11
2024-10-12,70
2024-10-13,97
2024-10-14,83
2024-10-19,64
2024-10-23,55
2024-10-24,76
2024-10-25,48
2024-10-27,176
2024-10-28,28
2024-10-29,73
2024-10-31,15
2024-11-01,185
